page,title,year of issue,genres,developer,download link
https://v.otxataba.net/games/torrent_igry/simulator/euro_truck_simulator_2_v_1_24_2_2s_37_dlc_2013_pc_124_repack_ot_xatab/18-1-0-238,Euro Truck Simulator 2 [v 1.38.1.3s + DLC] (2013) скачать торрент RePack от xatab ,2013,Simulator,SCS Software,https://v.otxataba.net/index.php?do=download&id=2396
https://v.otxataba.net/games/torrent_igry/3d/pc_building_simulator_2018_pc_124_repack_ot_xatab/3-1-0-587,PC Building Simulator  (v 1.8.6+DLC) (2018) скачать торрент RePack от xatab ,27 мар. 2018,3D/Simulation,Snail Games USA,https://v.otxataba.net/index.php?do=download&id=2391
https://v.otxataba.net/games/torrent_igry/strategy/factorio-gog-2020-pc-licenzija/7-1-0-1495,Factorio [GOG] (2020) скачать торрент Лицензия ,14 августа 2020,Strategy,Wube Software LTD,https://v.otxataba.net/index.php?do=download&id=2390
https://v.otxataba.net/games/torrent_igry/racing/automobilista-2/17-1-0-1435,Automobilista 2 [v 1.0.2.1+DLC] (2020) скачать торрент RePack от xatab ,2020,Racing/Simulator/Sport,Reiza Studios,https://v.otxataba.net/index.php?do=download&id=2395
https://v.otxataba.net/games/torrent_igry/3d/green_hell_v_0_5_5_124_early_access_2018_pc_124_repack_ot/3-1-0-981,Green Hell [v 1.8.1 ] (2019) скачать торрент RePack от xatab ,2019 г.,3D/Action/1st Person/Simulation,Creepy Jar,https://v.otxataba.net/index.php?do=download&id=2393
https://v.otxataba.net/games/torrent_igry/racing/biker-garage-mechanic-simulator-2019-repack-ot-xatab/17-1-0-1201,Biker Garage: Mechanic Simulator ( build 20200813+DLC) (2019) скачать торрент RePack от xatab ,2019,Racing/Simulator,"BeardedBrothers.games, Dev Juice",https://v.otxataba.net/index.php?do=download&id=2392
https://v.otxataba.net/games/torrent_igry/3d/thehunter-call-of-the-wild-v-152/3-1-0-1284,TheHunter: Call of the Wild [v 1867324 (update 60)+DLC] (2017) скачать торрент RePack от xatab ,2017,3D/Simulator,Expansive Worlds,https://v.otxataba.net/index.php?do=download&id=2388
https://v.otxataba.net/games/torrent_igry/3d/rock-of-ages-3-make-amp-break/3-1-0-1469,Rock of Ages 3: Make & Break [1.04 build 95181] (2020) скачать торрент RePack от xatab ,2020,3D/Strategy/Adventure/Racing,"ACE Team, Giant Monkey Robot",https://v.otxataba.net/index.php?do=download&id=2398
https://v.otxataba.net/games/torrent_igry/action/dying-light-plaza-2015-pc-licenzija/5-1-0-1496,Dying Light v.1.30.0 [PLAZA] (2015) скачать торрент Лицензия ,27 января 2015 / 9 февраля 2016 (The Following),Action/1st Person/Horror,Techland,https://v.otxataba.net/index.php?do=download&id=2397
https://v.otxataba.net/games/torrent_igry/3d/dreadout-2/3-1-0-1363,DreadOut 2 [v.1.1.4] (2020) скачать торрент RePack от xatab ,2020,3D/Adventure/Horror,Digital Happiness,https://v.otxataba.net/index.php?do=download&id=2394
https://v.otxataba.net/games/torrent_igry/rpg/remnant_from_the_ashes_2019_pc_124_repack_ot_xatab/2-1-0-1118,Remnant: From the Ashes (build 248020+DLC) (2019) скачать торрент RePack от xatab ,2019 г.,RPG/3rd Person/Action,Gunfire Games,https://v.otxataba.net/index.php?do=download&id=2389
https://v.otxataba.net/games/torrent_igry/rpg/sword-art-online-alicization-lycoris/2-1-0-1454,SWORD ART ONLINE Alicization Lycoris [v.1.04] (2020) скачать торрент RePack от xatab ,2020,RPG/3D/Action,"AQURIA Co., Ltd.",https://v.otxataba.net/index.php?do=download&id=2385
https://v.otxataba.net/games/torrent_igry/rpg/pagan-absent-gods/2-1-0-1492,Pagan: Absent Gods (2019) скачать торрент RePack от xatab ,2019,RPG/3D,Mad Head Games,https://v.otxataba.net/index.php?do=download&id=2382
https://v.otxataba.net/games/torrent_igry/3d/tropico_6_2018_pc_124_beta_repack_ot_xatab/3-1-0-694,Tropico 6 El Prez Edition [ 1.10 (100) Hotfix+ DLC] (2019) скачать торрент RePack от xatab ,2019 г.,3D/Strategy/Simulation,Limbic Entertainment,https://v.otxataba.net/index.php?do=download&id=2378
https://v.otxataba.net/games/torrent_igry/strategy/imperator_rome_deluxe_edition_2019_repack_ot_xatab/7-1-0-968,Imperator: Rome - Deluxe Edition [v 1.5.0)] (2019) скачать торрент RePack от xatab ,2019 г.,Strategy/Simulator,Paradox Development Studio,https://v.otxataba.net/index.php?do=download&id=2383
https://v.otxataba.net/games/torrent_igry/3d/europa_universalis_iv_v_1_28_2_62_dlc_2013_repack_ot_xatab/3-1-0-898,Europa Universalis IV [v 1.30.3 + DLC] (2013) скачать торрент RePack от xatab ,2013,3D/Strategy,Paradox Development Studio,https://v.otxataba.net/index.php?do=download&id=2377
https://v.otxataba.net/games/torrent_igry/3d/willy-morgan-and-the-curse-of-bone-town/3-1-0-1493,Willy Morgan and the Curse of Bone Town (2020) скачать торрент RePack от xatab ,2020,3D/Adventure,imaginarylab,https://v.otxataba.net/index.php?do=download&id=2384
https://v.otxataba.net/games/torrent_igry/3d/observation_2019_repack_ot_xatab/3-1-0-1005,Observation [v 1.17] (2019) скачать торрент RePack от xatab ,2019 г.,3D/1st Person/Adventure,No Code,https://v.otxataba.net/index.php?do=download&id=2380
https://v.otxataba.net/games/torrent_igry/adventure/beyond-a-steel-sky/10-1-0-1466,Beyond a Steel Sky [v 1.1.26717] (2020) скачать торрент RePack от xatab ,2020,Adventure,Revolution Software Ltd,https://v.otxataba.net/index.php?do=download&id=2379
https://v.otxataba.net/games/torrent_igry/3d/risk-of-rain-2/3-1-0-1491,Risk of Rain 2 (2020) скачать торрент RePack от xatab ,2020,3D/3rd Person/Action,Hopoo Games,https://v.otxataba.net/index.php?do=download&id=2381
